"Taxon","Status","Stem","Leaf","Fruit","Ecology","Elevation","Bioregional Distribution","Flowering Time","eFlora Treatment Author","url","Distribution Outside California","Note","Synonyms","Inflorescence","Flower","Reference","Toxicity","Habit","Chromosomes","Staminate Flower","Pistillate Flower","Seed"
"Prunus andersonii","NATIVE",NA," deciduous; petiole 0--7 mm; blade 9--30 mm, 2--6 mm wide, elliptic to oblanceolate, finely serrate, base long-tapered, tip generally acute. "," 10--18 mm, obovoid to +- spheric, densely puberulent, green-yellow to red-orange; pulp dry, thin, often splitting to reveal stone. "," Rocky slopes, flats, scrub, pinyon/juniper woodland; "," 900--2600 m. "," SNH (e slope), GB, DMtns; "," Mar--May "," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunusNext taxon: Prunus cerasifera
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=39967"," Nevada. ",NA,NA," umbel-like cluster or not; flowers 1--2; pedicels (1)4--12 mm. "," sepals sparsely gland-toothed, ciliate; petals (5)8--11 mm, dark pink to nearly white. ",NA,NA," Shrub < 3 m, much-branched, thorny. ",NA,NA,NA,NA
"Prunus cerasifera","NATURALIZED",NA," deciduous; petiole 5--20 mm; blade 30--70 mm, elliptic to (ob)ovate, crenate-serrate, base obtuse, tip acute to obtuse. "," 15--30 mm, glabrous, yellow to red; pulp fleshy. "," Roadsides, streambanks, chaparral as waif; "," < 1000 m. "," s NCoR, n SNF, CCo, SnFrB; "," Feb--Mar "," Joseph R. RohrerJepson Online InterchangeWeed listed by Cal-IPC List of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus andersoniiNext taxon: Prunus dulcis
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=39972"," native to southeastern Europe. "," Variants with red-pink flowers, dark red to +- purple leaves, fruit, commonly cultivated. ",NA," (umbel-like clusters) or not; flowers 1(2); pedicels (4)10--18 mm. "," sepals glabrous, gland-toothed to nearly entire; petals 7--14 mm, white. ",NA,NA," Tree 4--8 m, not thorny. "," 2n=16.",NA,NA,NA
"Prunus dulcis","NATURALIZED",NA," deciduous; petiole (8)10--25 mm; blade 25--100 mm, oblong to lanceolate, crenate-serrate, base obtuse, tip acuminate. "," 25--40 mm, ovoid-oblong, +- flat, velvety, gray-green; pulp leathery, splitting to reveal stone. "," Canyons, roadsides, grassland (as waif); "," < 500 m. "," s NCoRI, c SNF, GV, e SnFrB, s SCoRO; "," Feb--Mar "," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus cerasiferaNext taxon: Prunus emarginata
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=39976"," probably native to western Asia, northern Africa. ",NA," Prunus amygdalus Batsch; "," subsessile cluster or not; flowers 1--2; pedicels 1--5 mm. "," sepals tomentose, entire; petals 12--25 mm, pink to nearly white. ",NA,NA," Tree 5--8 m, not thorny. "," 2n=16.",NA,NA,NA
"Prunus emarginata","NATIVE",NA," deciduous; petiole 3--12 mm; blade 15--60(80) mm, generally elliptic to obovate, crenate-serrate, base wedge-shaped, tip obtuse to rounded. "," 7--14 mm, glabrous, red to purple; pulp +- fleshy. "," Rocky slopes, canyons, chaparral, mixed-evergreen or conifer forest; "," < 3000 m. "," CA-FP (exc GV, ChI), GB; "," Apr--Jun "," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus dulcisNext taxon: Prunus eremophila
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=39978"," to British Columbia, Montana, New Mexico, Baja California. ",NA,NA," raceme, +- flat-topped; flowers (3)6--12; pedicels 3--12(18) mm. "," sepals glabrous, entire; petals 3--8 mm, white. ",NA,NA," Shrub, tree < 15 m, often in dense thickets, not thorny. ",NA,NA,NA,NA
"Prunus eremophila","NATIVE",NA," deciduous; petiole 0.5--5 mm; blade 5--20(30) mm, ovate to obovate, serrate, base wedge-shaped to obtuse, tip obtuse to rounded, generally mucronate. "," 9--16 mm, velvety, yellow-orange; pulp dry, thin. "," Desert washes, rocky slopes, creosote-blackbush scrub; "," 900--1200 m. "," e DMoj. "," Mar--Apr "," Joseph R. RohrerJepson Online InterchangeListed on CNPS Rare Plant InventoryList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus emarginataNext taxon: Prunus fasciculata
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=80963",NA,NA,NA," subsessile cluster or not; flowers 1--2; pedicels 0--3 mm. "," generally unisexual by abortion of stamens or pistil; sepals sparsely ciliate, entire; petals 2.5--6 mm, white. ",NA,NA," Shrub < 2.5 m, much-branched, weak-thorny. ",NA,NA,NA,NA
"Prunus fasciculata","NATIVE",NA," deciduous; petiole +- 0; blade 5--20 mm, 1--2(4) mm wide, linear to narrow-oblanceolate, generally entire, base long-tapered, tip acute to rounded. "," 7--15 mm, densely puberulent, gray to red-brown; pulp dry, thin. ",NA,NA,NA,NA," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus eremophilaNext taxon: Prunus fasciculata var. fasciculata
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=39979",NA,NA,NA," subsessile cluster or not; flowers 1--2; pedicels 0--4 mm. "," generally unisexual by abortion of stamens or pistil; sepals glabrous, entire; petals 1.4--4 mm, white to +- yellow. ",NA,NA," Shrub < 3 m, much-branched, thorny. ",NA,NA,NA,NA
"Prunus fasciculata var. fasciculata","NATIVE",NA," puberulent. ",NA," Creosote-bush scrub, Joshua-tree or pinyon/juniper woodland; "," 700--2200 m. "," s SNF, Teh, s SCoRI, n TR, e PR, D; "," Mar--May "," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus fasciculataNext taxon: Prunus fasciculata var. punctata
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=64518"," to Utah, Baja California. ",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prunus fasciculata var. punctata","NATIVE",NA," glabrous to low-papillate. ",NA," Sandy soils, scrubland, oak woodland; "," < 200 m. "," s CCo, s SCoRO. "," Mar--Apr "," Joseph R. RohrerJepson Online InterchangeListed on CNPS Rare Plant InventoryList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus fasciculata var. fasciculataNext taxon: Prunus fremontii
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=64519",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Prunus fremontii","NATIVE",NA," deciduous; petiole 1--7 mm; blade 6--30 mm, ovate to round, serrate, base obtuse to rounded or subcordate, tip obtuse to rounded. "," 8--15 mm, densely puberulent, +- yellow; pulp dry, thin, splitting to reveal stone. "," Rocky slopes, canyons, scrub, pinyon/juniper woodland; "," 200--1500 m. "," e PR, w DSon; "," Jan--Mar "," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus fasciculata var. punctataNext taxon: Prunus ilicifolia
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=39980"," Baja California. ",NA,NA," umbel-like cluster or not; flowers 1--3; pedicels 2--12 mm. "," sepals gland-toothed, ciliate; petals 3--10 mm, white to +- pink. ",NA,NA," Shrub < 4 m, much-branched, thorny. ",NA,NA,NA,NA
"Prunus ilicifolia","NATIVE",NA," evergreen; petiole 3--25 mm; blade 16--120 mm, ovate to round, entire or spiny-serrate, base rounded to subcordate, tip rounded to acuminate, generally mucronate. "," 12--25 mm, glabrous, red to blue-black; pulp fleshy, thin. ",NA,NA,NA,NA," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus fremontiiNext taxon: Prunus ilicifolia subsp. ilicifolia
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=39987",NA,NA,NA," raceme; flowers 15--many; pedicels 1--5 mm. "," sepals glabrous, entire; petals 1--3 mm, white to +- yellow. ",NA,NA," Shrub, tree < 15 m, not thorny. ",NA,NA,NA,NA
"Prunus ilicifolia var. ilicifolia","NATIVE",NA," petiole 3--10 mm; blade widely ovate to round, margin spiny-serrate, +- wavy, tip acute to rounded. "," 12--18 mm, generally red. "," Canyons, slopes, scrubland, woodland; "," < 1600 m. "," s NCoR, CW, SW (exc ChI); "," Apr--May "," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus ilicifoliaNext taxon: Prunus ilicifolia subsp. lyonii
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=76988"," Baja California. ",NA,NA,NA,NA,NA,NA," Plant < 9 m. ",NA,NA,NA,NA
"Prunus ilicifolia var. lyonii","NATIVE",NA," petiole 8--25 mm; blade generally ovate, margin generally entire, flat, tip acute to acuminate. "," 15--25 mm, generally blue-black. "," Canyons, chaparral, woodland; "," < 600 m. "," ChI; "," Mar--May "," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus ilicifolia subsp. ilicifoliaNext taxon: Prunus persica
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=76987"," Baja California (mainland). ",NA," Prunus lyonii (Eastw.) Sarg.; ",NA,NA,NA,NA," Plant 4--15 m. ",NA,NA,NA,NA
"Prunus persica","NATURALIZED",NA," deciduous; petiole 5--10(15) mm; blade (50)70--150 mm, oblong to lanceolate, finely serrate, base tapered to obtuse, tip acuminate. "," 40--80 mm, velvety, yellow to +- orange tinged with red; pulp fleshy. "," Roadsides, canyons, chaparral as waif; "," < 1300 m. "," CaRH, SCo, SnGb; "," Mar "," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus ilicifolia subsp. lyoniiNext taxon: Prunus subcordata
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40006"," probably native to eastern Asia. ",NA,NA," (subsessile cluster) or not; flowers 1(2); pedicels 0--3 mm. "," sepals entire, ciliate; petals 10--17 mm, dark pink. ",NA,NA," Tree 3--10 m, not thorny. "," 2n=16.",NA,NA,NA
"Prunus subcordata","NATIVE",NA," deciduous; petiole 4--18 mm; blade 20--50(65) mm, oblong-ovate to +- round, finely serrate, base rounded to subcordate, tip obtuse to rounded. "," 15--25 mm, glabrous (puberulent), yellow to dark red; pulp fleshy. "," Mixed-evergreen or conifer forest; "," 100--1900 m. "," NW, CaR, SN, CW, MP; "," Mar--May "," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus persicaNext taxon: Prunus virginiana var. demissa
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=40019"," southern Oregon. "," Prunus subcordata var. oregana (Greene) W. Wight (fruit puberulent) may merit recognition; study needed. ",NA," umbel-like cluster; flowers 2--5; pedicels 5--15 mm. "," sepals glabrous to puberulent, gland-toothed, ciliate or not; petals 5--10 mm, white. ",NA,NA," Shrub < 3(6) m, often in thickets, +- thorny. ",NA,NA,NA,NA
"Prunus virginiana var. demissa","NATIVE",NA," deciduous; petiole 10--25 mm; blade 30--100 mm, elliptic to oblanceolate, finely serrate, base obtuse to subcordate, tip acuminate to obtuse. "," 6--14 mm, glabrous, red to black; pulp fleshy. "," Rocky slopes, canyons, scrubland, oak/pine woodland, conifer forest; "," < 3000 m. "," CA-FP (exc coast, GV), GB; "," May--Jun "," Joseph R. RohrerJepson Online InterchangeList of species Prunus andersonii Prunus cerasifera Prunus dulcis Prunus emarginata Prunus eremophila Prunus fasciculata Prunus fasciculata var. fasciculata Prunus fasciculata var. punctata Prunus fremontii Prunus ilicifolia Prunus ilicifolia subsp. ilicifolia Prunus ilicifolia subsp. lyonii Prunus persica Prunus subcordata Prunus virginiana var. demissaPrevious taxonPrunus subcordataNext taxon: Purshia
Name Search","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=64546"," to British Columbia, Montana, Texas, northern Mexico. "," Prunus virginiana var. virginiana of eastern North America sometimes cultivated. ",NA," raceme; flowers 18--many; pedicels 5--8(16) mm. "," sepals glabrous, gland-toothed; petals 4--7 mm, white. ",NA,NA," Shrub, small tree < 6(10) m, often in thickets, not thorny. "," 2n=16.",NA,NA,NA
"Salix alba","NATURALIZED"," erect to spreading; twigs +- yellow or gray to red-brown, flexible or +- brittle at base, silky, glabrous in age. "," later stipules leaf-like; petiole 3--13 mm, with glands; young leaves densely silky; mature blade 63--115 mm, lanceolate to narrowly oblong, acuminate (base wedge-shaped or acute), finely serrate, abaxial hairs generally densely long-silky, straight, to +- 0. ",NA," Disturbed places, generally near settlements; "," probably < 20 m. "," CA; "," May--Jun "," Hybrid formerly known as Salix ×rubens Schrank (Salix alba × Salix fragilis) now correctly recognized as Salix ×fragilis L. (Salix alba × Salix euxina I.V. Belyaeva), probably only cultivated in California.","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42673"," to eastern North America; native to Europe. "," Mostly cultivated as ornamental, but many cultivars, hybrids +- naturalized. Unabridged SynonymsSalix alba L. var. vitellina (L.) StokesUnabridged ",NA," blooming with leaves, pistillate 31--51 mm, on leafy shoots 3--14 mm; flower bract +- tan, sparsely hairy, tip rounded; pistillate bracts deciduous. ",NA," George W. Argus",NA," Tree < 25 m. "," 2n=76."," stamens 2; nectaries adaxial, abaxial. "," ovary glabrous, stalk 0.2--0.8 mm, style 0.16--0.44 mm. ",NA
"Salix babylonica","NATURALIZED"," pendent; twigs yellow- to red-brown, short-silky to velvety, glabrous in age (except at nodes). "," later stipules leaf-like; petiole 7--9 mm, generally with glands; young leaves glabrous to moderately densely silky; mature blade 90--160 mm, lance-linear, acuminate (base wedge-shaped), generally finely sharp-serrate-spiny, abaxial hairs generally sparsely short-silky, straight, to 0. ",NA," Disturbed places, around settlements; "," probably < 50 m. "," SnFrB, SCo (see note); "," Feb--May "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42700"," to southeastern United States; native to Asia. "," Mostly cultivated as ornamental; nearly all seen +- naturalized plants in California are Salix ×sepulcralis Simonk. (Salix alba × Salix babylonica) and Salix ×pendulina Wender. (Salix babylonica × Salix ×fragilis L.). ",NA," blooming with leaves, pistillate 7--22 mm, on leafy shoots (0)2--9 mm; flower bract +- tan. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Tree < 16 m. "," 2n=76."," stamens 2. "," ovary glabrous, stalk 0--0.2 mm, style +- 0.2 mm, stigma plump-lobed. ",NA
"Salix bebbiana","NATIVE"," twigs spreading widely, yellow-green or red-brown, soft-shaggy-hairy. "," later stipules leaf-like, vestigial or not; petiole 2--13 mm; young leaves hairy; mature blade 20--87 mm, elliptic to narrowly obovate, acuminate (base convex to wedge-shaped), entire to crenate, abaxially generally tomentose or hairs long-silky on veins, wavy, to +- 0. ",NA," Streamsides, lakeshores; "," 1000--1400 m. "," n MP (Lower Klamath Lake, Siskiyou Co.; Goose Lake, Modoc Co.); "," Apr--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42708"," to Alaska, eastern North America, New Mexico. ",NA,NA," blooming just before or with leaves, pistillate 16--75 mm, on leafy shoots 1--26 mm; flower bract +- tan. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub, small tree, < 10 m. "," 2n=38."," stamens 2. "," ovary long-beaked, silky, stalk 2--6 mm, style 0.1--0.4 mm. ",NA
"Salix boothii","NATIVE"," twigs yellow-, gray-, or red-brown, glabrous or shaggy-hairy. "," stipules leaf-like; petiole 3--17 mm; young leaves shaggy-hairy; mature blade 26--102 mm, strap-shaped to broadly elliptic, acute to acuminate (base convex to subcordate), entire to finely serrate, abaxial hairs generally long-soft-shaggy or +- densely short-silky, white or white and rusty, wavy, to 0. ",NA," Uncommon. Wet subalpine meadows, shores; "," 1525--3200 m. "," KR, CaRH, n&s SNH, Wrn, SNE; "," Apr--Jul Unabridged SynonymsSalix pseudocordata Andersson, misappl.; Salix myrtillifolia of authors"," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42717"," to western Canada, Colorado. ",NA,NA," blooming before or with leaves, pistillate 12--62 mm, on leafy shoots 1--9 mm (margins of shoot-leaves gland-dotted or finely serrate); flower bract dark brown, hairs wavy. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 6 m. "," 2n=76."," stamens 2. "," ovary glabrous, stalk 0.5--2.5 mm, style 0.3--1.4 mm. ",NA
"Salix brachycarpa var. brachycarpa","NATIVE"," twigs red-brown, silky, glabrous in age. "," stipules generally vestigial; petiole 0.8--4 mm; young leaves densely silky; mature blade 10--20 mm, +- elliptic, acute (base convex), entire; abaxial hairs generally dense, long-soft-fine or long-silky. ",NA," Subalpine meadows (especially on limestone); "," 3200--3500 m. "," c SNH (e slope, Mono Co.); "," Jun--Aug "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=76035"," to northern and eastern Canada, Colorado. ",NA," Salix brachycarpa subsp. brachycarpa; "," blooming with leaves, densely flowered, pistillate 6--28 mm, +- spheric, on leafy shoots 0.5--20 mm; flower bract +- tan. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub generally < 0.5 m. "," 2n=38."," stamens 2; nectaries adaxial, abaxial. "," ovary densely woolly or silky, stalk 0--0.3 mm, style 0.5--1.5 mm; nectaries adaxial, abaxial. ",NA
"Salix breweri","NATIVE"," twigs +- yellow to yellow-brown, velvety or silky-tomentose. "," later stipules leaf-like; petiole 3--7 mm; young leaves silky; mature blade 58--144 mm, strap-shaped to oblanceolate, convex or acuminate (base convex to wedge-shaped), entire to irregularly toothed, +- rolled under, abaxially generally sparse- to dense-tomentose or -woolly, hairs wavy. ",NA," Serpentine streamsides; "," 300--1300 m. "," NCoR, SnFrB, n&c SCoR. "," Mar--Apr Unabridged NoteHybrids with Salix lasiolepis in Yolo Co. have leaves less hairy, fruit long, slender, stalked, glabrous in age, as does Salix delnortensis, but have, compared to Salix delnortensis, shorter petioles, flexible twig bases."," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42729",NA,NA,NA," blooming before leaves, pistillate 19--59 mm, on leafy shoots 0--1 mm; flower bract +- tan to light rose. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 4 m. ",NA," stamens 2. "," ovary tomentose, stalk 0--0.4 mm, style 0.4--0.8 mm; nectary narrow. ",NA
"Salix delnortensis","NATIVE"," twigs red- or yellow-brown, brittle at base, tomentose or velvety, glabrous in age. "," later stipules leaf-like; petiole 6--16 mm; young leaves velvety or silky; mature blade 53--102 mm, elliptic to obovate, acute to convex (base convex to wedge-shaped), entire, +- rolled under, abaxially generally velvety or tomentose or hairs long-soft-fine or short-silky, wavy. ",NA," Serpentine banks of rivers, streams; "," 90--500 m. "," nw KR (near Gasquet, Del Norte Co.); "," Mar--May "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42753"," southwestern Oregon. "," Like Salix breweri Bebb; may hybridize with Salix lasiolepis Benth. ",NA," blooming before leaves, pistillate 17--53 mm, on leafy shoots 0--3 mm; flower bract brown. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 2 m. ",NA," stamens 2. "," ovary silky, stalk 0--0.3 mm, style 0.6--1.2 mm. ",NA
"Salix drummondiana","NATIVE"," twigs red- or mottled yellow-brown, brittle at base, generally strongly glaucous, hairy, glabrous in age. "," later stipules leaf-like; petiole 2--12 mm; young leaves white- or white-and-rusty-silky; mature blade 40--85 mm, strap-shaped, elliptic, or oblanceolate, acuminate to convex (base convex to wedge-shaped), entire to shallowly crenate, +- rolled under, abaxial hairs generally dense, short- or long-silky or woolly, white or white and rusty, straight or wavy. ",NA," Streamsides, wet meadows, subalpine red-fir forest; "," 2200--3000 m. "," c&s SNH, W&I; "," Apr--Jul "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42763"," to western Canada, Nevada, New Mexico. ",NA," Salix drummondiana Barratt ex Hook.var. subcoerulea (Piper) C.R. Ball; "," blooming before leaves, pistillate 22--87 mm, on leafy shoots 0--3(6) mm; flower bract brown to black. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 5 m. "," 2n=38,57,76."," stamens 2. "," ovary silky, stalk 0.3--2 mm, style 0.5--1.5 mm. ",NA
"Salix eastwoodiae","NATIVE"," twigs yellow-green or red-brown, glaucous or not, shaggy-hairy, glabrous in age. "," stipules leaf-like, early-deciduous or not; petiole 1--14 mm; young leaves hairy; mature blade 23--99 mm, narrowly oblong to elliptic, short-acuminate to convex (base rounded to subcordate), entire to finely short-slender-serrate, abaxially generally densely woolly-tomentose or hairs long-soft-shaggy or short-silky, wavy, to +- 0. ",NA," Alpine, subalpine meadows, streams, talus; "," 1600--3800 m. "," KR, NCoR, CaRH, SNH, MP, W&I; "," May--Jul "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42769"," to western Canada, Montana, Wyoming, New Mexico. ",NA,NA," blooming with leaves, pistillate 11--51 mm, on leafy shoots 2--12 mm; margin of shoot leaves generally finely short-slender-serrate (or entire or gland-dotted); flower bract brown or black. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub < 4 m. "," 2n=76."," stamens 2. "," ovary glabrous or generally silky, stalk 0.2--1.6 mm, style 0.5--1.5 mm. ",NA
"Salix exigua","NATIVE"," twigs yellow- to red-brown. "," later stipules leaf-like; petiole 1--7 mm; mature blade 30--147 mm, linear or strap-shaped, acuminate (base wedge-shaped), entire or +- sparsely short-slender-serrate. ",NA,NA,NA,NA,NA," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=42782",NA,NA,NA," blooming with or after leaves, branched or not, pistillate 22--70 mm, on leafy shoots 2--70 (400) mm; flower bract +- tan; pistillate bracts deciduous. ",NA," Argus 1997 Madroño 44:115--136Unabridged ",NA," Shrub or tree < 5 m, clonal by root-shoots. ",NA," stamens 2; nectaries adaxial, abaxial. "," ovary stalk 0.2--0.9 mm, stigma deciduous. ",NA
"Salix exigua var. exigua","NATIVE",NA," petiole densely short-soft-spreading-hairy; mature blade abaxial hairs generally densely long-soft-fine-silky, straight or wavy. "," 4--8 mm. "," Common. Shores, bars, silt, sand, gravel; "," < 2800 m. "," SN, MP, D; "," Mar--Jun "," George W. Argus","http://ucjeps.berkeley.edu/eflora/eflora_display.php?tid=76039"," to British Columbia, Saskatchewan, South Dakota, Texas, Mexico. "," Hybridizes with Salix exigua var. hindsiana, Salix sessilifolia (latter except from California since TJM (1993)). "," Salix exigua var. nevadensis (S. Watson) C.K. Schneid.; Salix exigua var. stenophylla (Rydb.) C.K. Schneid.; ",NA,NA," Argus 1997 Madroño 44:115--136Unabridged ",NA,NA," 2n=38.",NA," stigmas flat or wide-cylindric, 0.25--0.5 mm. ",NA
